Location,SubReg,Country,lat,long,NotStart6,Pop6,NotECCE3_5, Pop3_5,NotSch3_6,PerNot3_6,OutSch6_12 ,Pop6_12,OutSch13_17, Pop13_17,SchLeave6_17, PerSchLv6_17 ,NEET18_30N,NEET18_30P ,NEET15_24N ,NEET15_24P,Subsistence Economy,GridElec, OpenDefec,HH_Num,TotPop,MobOwnTot, HH_TV,HlthInsur
Nakaseke,Buganda,Uganda,1.02246,32.13946,5301,7305,10006,22276,15307,51.7,10914,47443,10274,28488,21188,27.9,24688,43.3,18949,38.2,13662,19603,2510,67563,251398,13055,17599,1701
Nakasongola,Buganda,Uganda,1.3164753,32.4651618,4538,6494,10125,21268,14663,52.8,8219,43472,8950,27609,17169,24.2,24423,47.9,18997,40.9,13135,5469,5921,51711,226074,11001,9495,1086
Namayingo,Busoga,Uganda,0.3417411,33.8781988,4889,8263,18359,27436,23248,65.1,12259,54108,10890,33740,23149,26.4,37498,64.5,28604,52.1,31723,3621,10243,59423,266716,6176,8279,1044
Namisindwa,Bugisu,Uganda,0.86783955,34.38314071,4101,7396,14695,22951,18796,61.9,11788,50708,9560,35855,21348,24.7,30170,54,22695,40.6,29488,2250,3346,63640,257346,9905,5825,1340
Namutumba,Busoga,Uganda,0.89409,33.67765,5855,10362,21661,32145,27516,64.7,16944,67360,12880,40954,29824,27.5,42991,66.7,32221,51.1,35613,5346,3971,71572,311339,4778,6007,638
Napak,Karamoja,Uganda,2.43178,34.2307,7336,8612,23991,26147,31327,90.1,36057,47653,15302,21121,51359,74.7,30006,65.6,22539,62,28415,508,29241,41751,211830,3582,824,1245
Nebbi,Westnile,Uganda,2.4785503,31.0899897,4472,9422,22037,29332,26509,68.4,15901,61898,14097,39100,29998,29.7,42565,65.6,34418,54.4,37642,2381,6772,63859,299398,10159,4331,1973
Ngora,Teso,Uganda,1.4566794,33.7766823,2472,5210,11831,16789,14303,65,7736,35840,6577,24842,14313,23.6,23852,58.2,17733,43.4,14272,1543,3164,32321,213777,5477,2202,918
Ntoroko,Rwenzori,Uganda,1.0519631,30.5372592,1876,2793,6286,9264,8162,67.7,7237,18016,6137,11915,13374,44.7,13286,58.1,10871,53,5900,1707,2203,20180,114858,3899,2623,233
Ntungamo,Ankole,Uganda,-0.8715424,30.2675905,10078,13832,16872,43551,26950,47,19560,100462,22272,73181,41832,24.1,45243,40.5,35474,31.7,40696,16498,1631,125001,552786,22427,23803,3156
Nwoya,Acholi,Uganda,2.6336998,32.0004589,3767,6334,14311,20368,18078,67.7,13319,40387,11107,25567,24426,37,33164,58.7,25671,51.9,27651,692,4102,53086,220593,7439,3835,1667
Obongi,Madi,Uganda,3.3768,31.52493,3026,4644,7437,12772,10463,60.1,7092,29764,5196,20907,12288,24.3,19845,56.6,14765,40.7,16054,33,3140,30171,142983,3404,710,1686
Omoro,Acholi,Uganda,2.68538,32.55525,3307,5979,13513,19303,16820,66.5,11847,39419,10362,26370,22209,33.8,31835,61.9,25014,52.7,24855,827,3171,46805,207339,5868,3812,1138
Otuke,Lango,Uganda,2.48272,33.36827,2720,4499,12362,14694,15082,78.6,9805,29693,7497,19535,17302,35.1,24106,65.8,18343,54.5,19393,388,5225,33987,161069,3108,1092,1221
