Location,SubReg,Country,lat,long,NotStart6,Pop6,NotECCE3_5, Pop3_5,NotSch3_6,PerNot3_6,OutSch6_12 ,Pop6_12,OutSch13_17, Pop13_17,SchLeave6_17, PerSchLv6_17 ,NEET18_30N,NEET18_30P ,NEET15_24N ,NEET15_24P,Subsistence Economy,GridElec, OpenDefec,HH_Num,TotPop,MobOwnTot, HH_TV,HlthInsur
Kamuli,Busoga,Uganda,0.9445873,33.1236818,10487,17013,29185,51871,39672,57.6,28345,112644,23540,72891,51885,28,66218,58.7,50969,46.4,45934,19998,4173,124246,540252,15820,20174,2616
Kamwenge,Tooro,Uganda,0.1945127,30.4422919,7143,10034,17299,33171,24442,56.6,16386,68999,15653,44435,32039,28.2,32881,49.6,26397,40.5,28404,5307,1987,76274,337167,9612,9780,5905
Kanungu,Kigezi,Uganda,-0.8969671,29.7755034,4431,7786,10415,24253,14846,46.3,10825,52475,13067,40147,23892,25.8,27298,42.4,21314,34.1,23424,7514,825,69518,310062,10642,9406,15184
Kapchorwa,Sebei,Uganda,1.3967784,34.4508063,1928,3815,5902,11687,7830,50.5,5108,24571,4583,16386,9691,23.7,17939,56.9,12594,43.8,12798,2688,1631,30498,133621,7298,4732,558
Kapelebyong,Teso,Uganda,2.2741115,33.7745334,2415,4668,11000,15425,13415,66.8,8067,29414,6208,17717,14275,30.3,21509,63.4,15991,51.1,16849,138,8002,31529,143536,2448,926,775
Karenga,Karamoja,Uganda,3.77329,33.75864,3242,4576,12012,13517,15254,84.3,15022,24799,6067,11457,21089,58.2,10921,47.2,7501,39.9,13161,209,6150,19334,100375,2393,294,737
Kasese,Rwenzori,Uganda,0.1723828,30.085695,17557,26639,47207,87092,64764,56.9,42965,183080,37801,113918,80766,27.2,90034,53.5,70724,43.3,74168,44884,4002,193514,853831,37466,30309,11906
Kassanda,Buganda,Uganda,0.5377942,31.8277801,6569,9393,15426,29652,21995,56.3,15988,61499,14110,36078,30098,30.8,30737,45.2,23828,40.5,21962,10303,1804,84369,314008,10463,19301,1396
Katakwi,Teso,Uganda,1.9125082,33.9587933,3065,7087,17768,22633,20833,70.1,10202,44916,8665,29603,18867,25.3,29848,53.7,22213,42.1,25280,1198,20086,50864,234332,6035,1761,1204
Kayunga,Buganda,Uganda,0.83444,32.90022,9121,13660,21353,42834,30474,53.9,18330,90703,17616,56597,35946,24.4,49087,55,38816,45.5,31338,27594,4165,104678,439175,18429,23770,1826
Kazo,Ankole,Uganda,-0.0528218,30.7562011,3862,5166,7815,16842,11677,53.1,9024,35532,9303,24722,18327,30.4,16000,39.8,13006,33.7,12767,2858,743,42433,208898,6736,8886,830
Kibaale,Bunyoro,Uganda,0.790833,31.063333,4982,8035,14826,25448,19808,59.2,11902,50239,11008,27963,22910,29.3,17308,34,13935,30.8,15105,2196,2014,55887,237649,5541,7215,755
Kiboga,Buganda,Uganda,0.81393,31.9363,3886,5647,7395,17024,11281,49.8,7169,35534,6847,20364,14016,25.1,16705,45.9,12993,39.9,12626,9996,1176,47253,183255,9569,11492,647
Kibuku,Bukedi,Uganda,1.0461879,33.7998306,5305,8605,19612,27342,24917,69.3,17617,55504,10780,32549,28397,32.2,32557,63.3,25104,48.7,28420,2263,1741,54320,249441,4339,3350,777
Kikuube,Bunyoro,Uganda,1.27489,30.94554,8131,12290,26679,39236,34810,67.6,24663,78090,19378,44819,44041,35.8,44721,54.2,35308,48,36753,4861,6415,92335,379547,10706,11866,5399
Kiruhura,Ankole,Uganda,-0.210196,30.8390492,3311,4711,6786,15297,10097,50.5,7044,31094,9173,23815,16217,29.5,18858,38.6,14130,32.5,11420,5604,903,43180,203502,10110,10040,1047
Kiryandongo,Bunyoro,Uganda,1.877935,32.0623888,7466,11497,21961,35773,29427,62.3,21462,73938,18556,48077,40018,32.8,50543,57.6,40393,48.6,33150,6009,7261,82093,364872,13675,10784,2575
Kisoro,Kigezi,Uganda,-1.2822138,29.6926665,5040,10568,19854,32838,24894,57.4,17128,72036,15599,43426,32727,28.3,25420,42.2,21180,35.1,27264,7782,2339,80206,433662,8840,6503,3417
Kitagwenda,Tooro,Uganda,0.0089425,30.3705293,3066,4645,6813,14864,9879,50.6,7467,32319,8058,23034,15525,28,11134,34.2,9635,29.3,10842,2812,920,40346,184947,5482,6641,696
Kitgum,Acholi,Uganda,3.359,33.31939,3625,6642,14876,21022,18501,66.9,14657,45844,11253,32345,25910,33.1,37123,64.6,28366,51.5,27300,4229,9105,49817,239655,9285,4864,1212
Koboko,Westnile,Uganda,3.4097256,30.9603105,4685,8822,19829,26865,24514,68.7,15628,57461,11854,36486,27482,29.3,39905,62.7,29973,49.8,26435,1663,3650,51358,271781,8103,4270,1859
Kole,Lango,Uganda,2.4283032,32.8009593,4445,7397,19455,25102,23900,73.5,14384,52036,15251,37687,29635,33,45146,61.9,35443,53,32194,1335,4699,64375,294301,5467,3593,1274
Kotido,Karamoja,Uganda,3.008143,34.115341,8366,9529,28529,30163,36895,93,39239,47651,15728,19838,54967,81.4,28451,57.1,20220,56.1,34468,724,36248,45621,219734,3164,826,1827
Kumi,Teso,Uganda,1.4862082,33.9331264,3359,8205,20462,26933,23821,67.8,10026,56054,8522,37614,18548,19.8,35796,54.9,25864,40.3,28146,2991,6969,58393,286992,9671,3362,1522
Kwania,Lango,Uganda,1.90055305,32.77419862,3764,5624,12237,18803,16001,65.5,10605,39602,12086,30137,22691,32.5,38286,69.9,31362,58.3,27249,830,3646,48861,216125,3777,2138,1477
Kween,Sebei,Uganda,1.43376,34.55504,2027,3746,7159,12298,9186,57.3,5578,24573,4903,16113,10481,25.8,14593,47.9,10396,38,10620,552,2449,26960,129277,3700,2295,570
Kyankwanzi,Buganda,Uganda,1.11025,31.62334,5938,8537,15097,26843,21035,59.5,14783,54426,13693,33147,28476,32.5,29900,50.3,23722,44.2,19785,6101,3233,63912,278432,8870,11692,718
Kyegegwa,Tooro,Uganda,0.4812655,31.0552771,11098,16409,30246,53766,41344,58.9,30025,106633,25201,61297,55226,32.9,51782,51.9,41402,44.8,42511,7199,4902,115665,501120,12827,14769,5745
